
------------------------------------------------------------------------
This is catena4630-test1.ino.
System clock rate is 32.000 MHz
Enter 'help' for a list of commands.
(remember to select 'Line Ending: Newline' at the bottom of the monitor window.)
------------------------------------------------------------------------

FLASH found, put power down
?CatenaBase::GetProvisioningStyle: failing
?CatenaStm32L0::LoRaWAN::begin: Arduino_LoRaWAN:begin failed
?Catena463x::LoRaWAN::begin: Super::begin() failed
cPMS7003::fsmDispatch: enter stInitialSetup
hal begin
setReset: Z
setMode: Z
cPMS7003::fsmDispatch: enter stOff
wake
cPMS7003::fsmDispatch: enter stRequestPowerOn
set5v: 1
setReset: 0

OK
cPMS7003::fsmDispatch: enter stReset
setReset: 1
cPMS7003::fsmDispatch: enter stNormal
setMode: 1
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=993   .5=276   1.0=9     2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=993   .5=276   1.0=9     2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1008  .5=276   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1008  .5=276   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=960   .5=264   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=960   .5=264   1.0=9     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=945   .5=264   1.0=6     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=945   .5=264   1.0=6     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=972   .5=273   1.0=8     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=972   .5=273   1.0=8     2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1029  .5=285   1.0=11    2.5=1     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1029  .5=285   1.0=11    2.5=1     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1035  .5=281   1.0=11    2.5=1     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1035  .5=281   1.0=11    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1053  .5=277   1.0=11    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1053  .5=277   1.0=11    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1089  .5=291   1.0=11    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=4     10=4     ATM pm 1.0=4     2.5=4     10=4     Dust .3=1089  .5=291   1.0=11    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1122  .5=298   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1122  .5=298   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=6     2.5=6     10=6     ATM pm 1.0=6     2.5=6     10=6     Dust .3=1158  .5=311   1.0=15    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1158  .5=311   1.0=15    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1131  .5=303   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1131  .5=303   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1137  .5=310   1.0=16    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1137  .5=310   1.0=16    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1200  .5=323   1.0=19    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1200  .5=323   1.0=19    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1200  .5=324   1.0=16    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1200  .5=324   1.0=16    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1185  .5=329   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1185  .5=329   1.0=14    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1179  .5=331   1.0=19    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1179  .5=331   1.0=19    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=5     10=5     ATM pm 1.0=5     2.5=5     10=5     Dust .3=1131  .5=322   1.0=17    2.5=0     5=0     10=0    
CF1 pm 1.0=6     2.5=6     10=6     ATM pm 1.0=6     2.5=6     10=6     Dust .3=1131  .5=322   1.0=17    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1110  .5=304   1.0=18    2.5=0     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=1110  .5=304   1.0=18    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1098  .5=304   1.0=23    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1098  .5=304   1.0=23    2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1005  .5=277   1.0=25    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=5     ATM pm 1.0=4     2.5=5     10=5     Dust .3=1005  .5=277   1.0=25    2.5=1     5=1     10=1    
CF1 pm 1.0=4     2.5=5     10=6     ATM pm 1.0=4     2.5=5     10=6     Dust .3=1017  .5=282   1.0=25    2.5=1     5=1     10=1    
